Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
162,2,13,7,163,0,2.295,2.2,2.295,0.5685,22.202,21.575,21.569,0.627,31.158,0.029,0.027,0.03,15
163,2,13,6,164,0,2.341,2.3,2.341,0.5119,22.381,21.919,21.917,0.462,30.64,0.029,0.027,0.03,15
164,2,13,5,165,0,2.351,2.3,2.351,0.5387,22.379,21.748,21.735,0.631,31.116,0.027,0.026,0.029,15
165,2,13,4,166,0,2.318,2.3,2.318,0.5159,21.593,21.08,21.078,0.513,31.758,0.03,0.029,0.032,15
166,2,13,3,167,0,2.263,2.2,2.263,0.5003,21.311,21.007,21.004,0.304,31.492,0.03,0.029,0.032,15
167,2,13,2,168,0,2.292,2.2,2.292,0.4976,21.295,21.001,20.999,0.294,31.331,0.03,0.029,0.033,15
168,2,13,1,169,0,2.288,2.2,2.288,0.5183,21.577,21.043,21.043,0.534,31.46,0.03,0.029,0.032,15
169,2,1,13,1,0,0.002,0,0.002,0.4959,21.028,20.806,20.805,0.222,49.998,0.064,0.154,0.267,9
170,1,1,12,2,0,2.326,2.3,2.326,0.5026,21.141,20.864,20.861,0.277,31.608,0.032,0.033,0.042,9
171,2,1,11,3,0,2.338,2.3,2.338,0.5052,21.368,21.022,21.019,0.346,31.523,0.029,0.027,0.032,9
172,2,1,10,4,0,2.35,2.3,2.35,0.5071,21.595,21.2,21.194,0.395,31.113,0.029,0.027,0.03,9
173,2,1,9,5,0,2.338,2.3,2.338,0.5099,21.769,21.346,21.34,0.423,29.792,0.032,0.029,0.032,9
174,2,1,8,6,0,2.33,2.3,2.33,0.5064,21.519,21.109,21.109,0.41,30.805,0.039,0.053,0.076,9
175,2,1,7,7,0,2.291,2.2,2.291,0.5028,21.34,20.975,20.974,0.365,31.491,0.029,0.027,0.03,9
176,2,1,6,8,0,0.003,0,0.003,0.4933,21.099,20.877,20.873,0.222,49.998,0.013,0.033,0.052,9
177,1,1,5,9,0,2.294,2.2,2.294,0.5008,21.137,20.817,20.816,0.32,30.809,0.035,0.038,0.046,9
178,2,1,4,10,0,2.363,2.3,2.363,0.5025,21.25,20.971,20.969,0.279,31.397,0.053,0.09,0.136,9
179,2,1,3,11,0,2.371,2.3,2.371,0.5025,21.235,20.958,20.958,0.277,31.831,0.03,0.029,0.033,9
180,2,1,2,12,0,2.333,2.3,2.333,0.5005,21.147,20.918,20.918,0.229,30.93,0.039,0.053,0.075,9
181,1,1,1,13,0,2.314,2.3,2.314,0.5012,21.182,20.877,20.875,0.305,31.076,0.033,0.03,0.035,9
182,2,2,13,14,0,2.359,2.3,2.359,0.5017,21.154,20.928,20.926,0.226,31.732,0.036,0.05,0.076,9
183,2,2,12,15,0,2.351,2.3,2.351,0.5032,21.299,20.974,20.971,0.325,31.232,0.035,0.035,0.042,9
184,2,2,11,16,0,2.368,2.3,2.368,0.5871,21.65,21.027,21.027,0.623,30.723,0.035,0.032,0.036,9
185,2,2,10,17,0,2.34,2.3,2.34,0.5041,21.351,20.977,20.977,0.374,30.979,0.033,0.032,0.035,9
186,2,2,9,18,0,2.318,2.3,2.318,0.5061,21.398,20.921,20.921,0.477,31.616,0.032,0.029,0.033,9
187,1,2,8,19,0,2.31,2.3,2.31,0.5035,21.304,20.893,20.89,0.411,31.215,0.033,0.033,0.039,9
188,1,2,7,20,0,2.314,2.3,2.314,0.4991,21.148,20.888,20.888,0.26,30.8,0.033,0.032,0.036,9
189,2,2,6,21,0,2.325,2.3,2.325,0.5014,21.243,20.924,20.928,0.319,31.335,0.033,0.032,0.036,9
190,2,2,5,22,0,2.328,2.3,2.328,0.5114,21.505,20.941,20.941,0.564,31.535,0.032,0.03,0.035,9
191,2,2,4,23,0,2.323,2.3,2.323,0.5145,21.429,20.93,20.93,0.499,31.642,0.032,0.03,0.033,9
192,1,2,3,24,0,2.288,2.2,2.288,0.4982,21.14,20.84,20.837,0.3,31.654,0.035,0.036,0.046,9
193,1,2,2,25,0,2.29,2.2,2.29,0.4979,21.083,20.818,20.817,0.265,31.521,0.032,0.03,0.036,9
194,1,2,1,26,0,2.288,2.2,2.288,0.5088,21.22,20.813,20.813,0.407,31.607,0.032,0.029,0.032,9
195,2,3,13,27,0,2.353,2.3,2.353,0.5017,21.274,21.001,21.002,0.273,31.531,0.039,0.056,0.092,9
196,2,3,12,28,0,2.304,2.3,2.304,0.5035,21.909,21.497,21.492,0.412,31.343,0.03,0.032,0.039,9
197,2,3,11,29,0,2.275,2.2,2.275,0.521,22.311,21.718,21.708,0.593,31.056,0.029,0.026,0.029,9
198,2,3,10,30,0,2.269,2.2,2.269,0.5164,22.006,21.423,21.422,0.583,31.23,0.039,0.05,0.065,9
199,2,3,9,31,0,2.27,2.2,2.27,0.5156,21.649,21.217,21.215,0.432,30.999,0.03,0.029,0.032,9
